,station,location,Temp,do,ph,co,bod,na,FECAL COLIFORM (MPN/100ml),tc,npH,ndo,nco,nbdo,nec,nna,wph,wdo,wbdo,wec,wna,wco,wqi
1121,1568,VALAYAM,26.3,6.9,7.1,46.0,0.5,0.33,225,373.0,100,100,60,100,100,100,16.5,28.1,23.400000000000002,0.8999999999999999,2.8000000000000003,16.860000000000003,88.56
1122,1569,THALIPARAMBA,27.9,6.7,6.8,8291.0,1.0,0.53,108,250.0,80,100,60,100,0,100,13.200000000000001,28.1,23.400000000000002,0.0,2.8000000000000003,16.860000000000003,84.36
1123,1570,HOSDURG,28.4,6.2,7.0,12342.0,1.4,0.27,670,1600.0,100,100,40,100,0,100,16.5,28.1,23.400000000000002,0.0,2.8000000000000003,11.240000000000002,82.03999999999999
1124,1571,"KAKKADAVU,  KERALA",27.1,7.5,7.3,53.0,0.8,0.31,1253,2225.0,100,100,40,100,100,100,16.5,28.1,23.400000000000002,0.8999999999999999,2.8000000000000003,11.240000000000002,82.94
1125,1572,PADIYATHADKA,28.5,7.6,7.3,62.0,1.0,0.63,1175,2180.0,100,100,40,100,100,100,16.5,28.1,23.400000000000002,0.8999999999999999,2.8000000000000003,11.240000000000002,82.94
1126,1573,IRUMPANAM,28.1,2.2,6.4,625.0,2.3,1.29,1125,6505.0,0,0,40,100,0,100,0.0,0.0,23.400000000000002,0.0,2.8000000000000003,11.240000000000002,37.440000000000005
1127,2284,R NEYYAR AT ARUVIPURAM,26.4,7.4,6.7,55.0,0.7,0.51,281,1088.0,60,100,40,100,100,100,9.9,28.1,23.400000000000002,0.8999999999999999,2.8000000000000003,11.240000000000002,76.34
1128,2285,R MAMOM AT MAMOM BRIDGE,27.1,7.0,6.8,103.0,0.7,0.43,225,640.0,80,100,40,100,80,100,13.200000000000001,28.1,23.400000000000002,0.72,2.8000000000000003,11.240000000000002,79.46000000000001
1129,2286,R AYROOR AT AYROOR BRIDGE,26.9,5.3,6.9,109.0,1.3,0.66,305,685.0,80,80,40,100,80,100,13.200000000000001,22.480000000000004,23.400000000000002,0.72,2.8000000000000003,11.240000000000002,73.84
1130,2287,R ITHIKKARA AT ITHIKKARA,28.6,6.3,7.0,1392.0,0.7,0.85,230,535.0,100,100,40,100,0,100,16.5,28.1,23.400000000000002,0.0,2.8000000000000003,11.240000000000002,82.03999999999999
1131,2288,PALLICKAL AT NELLIMUKAL,27.9,6.7,7.0,71.0,0.5,0.29,208,433.0,100,100,60,100,100,100,16.5,28.1,23.400000000000002,0.8999999999999999,2.8000000000000003,16.860000000000003,88.56
1132,2289,R KARUVANNURR AT KARUVANNUR BRIDGE,28.4,6.0,6.4,57.0,1.4,0.61,193,303.0,0,100,60,100,100,100,0.0,28.1,23.400000000000002,0.8999999999999999,2.8000000000000003,16.860000000000003,72.06
1133,2290,PUZHACKAL AT PUZHACKAL BRIDGE,29.0,4.2,6.6,93.0,1.7,0.56,253,385.0,40,60,60,100,80,100,6.6000000000000005,16.860000000000003,23.400000000000002,0.72,2.8000000000000003,16.860000000000003,67.24000000000001
1134,2291,R KEECHERI AT VADAKKANCHERY BRIDGE,28.8,5.1,6.7,88.0,1.9,0.63,405,713.0,60,80,40,100,80,100,9.9,22.480000000000004,23.400000000000002,0.72,2.8000000000000003,11.240000000000002,70.53999999999999
1135,2292,R THIRUR AT THALAKKADATHUR BRIDGE,27.8,5.3,6.4,4912.0,1.1,0.11,345,788.0,0,80,40,100,0,100,0.0,22.480000000000004,23.400000000000002,0.0,2.8000000000000003,11.240000000000002,59.92000000000001
1136,2293,R KADALUNDI AT HAJIRAPPALLY,28.5,6.9,7.0,84.0,0.9,0.08,300,803.0,100,100,40,100,80,100,16.5,28.1,23.400000000000002,0.72,2.8000000000000003,11.240000000000002,82.75999999999999
1137,2294,R KALLAI AT KALLAI BRIDGE,26.0,2.8,7.4,18256.0,1.6,0.47,1050,2300.0,100,0,40,100,0,100,16.5,0.0,23.400000000000002,0.0,2.8000000000000003,11.240000000000002,53.940000000000005
1138,2295,CORAPUZHA AT KANAYANKODE,26.5,5.3,7.2,9753.0,0.9,0.26,1600,2650.0,100,80,40,100,0,100,16.5,22.480000000000004,23.400000000000002,0.0,2.8000000000000003,11.240000000000002,76.42000000000002
1139,2296,R THALLASSERY AT PATHIPPALAM,28.4,6.5,5.8,67.0,0.4,0.54,123,520.0,0,100,40,100,100,100,0.0,28.1,23.400000000000002,0.8999999999999999,2.8000000000000003,11.240000000000002,66.44
1140,2297,ANCHARAKANDY AT MERUVAMBA,28.1,6.9,6.1,86.0,0.6,0.49,73,183.0,0,100,60,100,80,100,0.0,28.1,23.400000000000002,0.72,2.8000000000000003,16.860000000000003,71.88
1141,2298,R KUPPAM AT RAYAROM,26.8,7.0,6.6,59.0,0.8,0.42,123,418.0,40,100,60,100,100,100,6.6000000000000005,28.1,23.400000000000002,0.8999999999999999,2.8000000000000003,16.860000000000003,78.66000000000001
